loss	train_acc	test_acc
0.282943	0.857143	0.671000
0.282840	0.857143	0.672000
0.282741	0.857143	0.672000
0.282645	0.857143	0.673000
0.282553	0.857143	0.673000
0.282466	0.857143	0.673000
0.282378	0.857143	0.672000
0.282295	0.857143	0.672000
0.282216	0.857143	0.672000
0.282139	0.857143	0.672000
0.282064	0.857143	0.672000
0.281991	0.857143	0.673000
0.281926	0.857143	0.672000
0.281854	0.857143	0.672000
0.281790	0.857143	0.671000
0.281727	0.857143	0.671000
0.281665	0.857143	0.671000
0.281608	0.857143	0.671000
0.281545	0.857143	0.671000
0.281488	0.857143	0.671000
0.281442	0.857143	0.671000
0.281378	0.857143	0.673000
0.281347	0.857143	0.674000
0.281279	0.857143	0.674000
0.281232	0.857143	0.674000
0.281186	0.857143	0.674000
0.281145	0.857143	0.674000
0.281096	0.857143	0.675000
0.281053	0.857143	0.675000
0.281010	0.857143	0.675000
0.280967	0.857143	0.675000
0.280926	0.857143	0.675000
0.280898	0.857143	0.675000
0.280846	0.857143	0.675000
0.280808	0.857143	0.675000
0.280772	0.857143	0.675000
0.280735	0.857143	0.674000
0.280699	0.857143	0.673000
0.280663	0.857143	0.673000
0.280627	0.857143	0.673000
0.280592	0.857143	0.673000
0.280563	0.857143	0.673000
0.280524	0.857143	0.673000
0.280491	0.857143	0.674000
0.280459	0.857143	0.674000
0.280427	0.857143	0.674000
0.280396	0.857143	0.674000
0.280365	0.857143	0.674000
0.280335	0.857143	0.674000
0.280305	0.857143	0.675000
0.280276	0.857143	0.675000
0.280248	0.857143	0.674000
0.280221	0.857143	0.674000
0.280194	0.857143	0.674000
0.280168	0.857143	0.674000
0.280142	0.857143	0.674000
0.280116	0.857143	0.674000
0.280092	0.857143	0.674000
0.280070	0.857143	0.673000
0.280043	0.857143	0.672000
0.280019	0.857143	0.672000
0.279999	0.857143	0.672000
0.279975	0.857143	0.672000
0.279953	0.857143	0.672000
0.279932	0.857143	0.674000
0.279912	0.857143	0.675000
0.279893	0.857143	0.676000
0.279901	0.857143	0.674000
0.279857	0.857143	0.674000
0.279851	0.857143	0.676000
0.279824	0.857143	0.676000
0.279809	0.857143	0.675000
0.279794	0.857143	0.675000
0.279778	0.857143	0.676000
0.279763	0.857143	0.676000
0.279746	0.857143	0.676000
0.279730	0.857143	0.676000
0.279713	0.857143	0.676000
0.279699	0.857143	0.676000
0.279680	0.857143	0.676000
0.279664	0.857143	0.674000
0.279649	0.857143	0.673000
0.279633	0.857143	0.673000
0.279617	0.857143	0.673000
0.279601	0.857143	0.673000
0.279585	0.857143	0.673000
0.279569	0.857143	0.673000
0.279554	0.857143	0.673000
0.279538	0.857143	0.673000
0.279523	0.857143	0.673000
0.279508	0.857143	0.673000
0.279493	0.857143	0.673000
0.279478	0.857143	0.673000
0.279463	0.857143	0.674000
0.279448	0.857143	0.674000
0.279434	0.857143	0.674000
0.279420	0.857143	0.674000
0.279406	0.857143	0.674000
0.279393	0.857143	0.674000
0.279379	0.857143	0.674000
0.279373	0.857143	0.674000
0.279354	0.857143	0.674000
0.279342	0.857143	0.674000
0.279330	0.857143	0.675000
0.279319	0.857143	0.675000
0.279307	0.857143	0.675000
0.279296	0.857143	0.675000
0.279284	0.857143	0.675000
0.279273	0.857143	0.677000
0.279262	0.857143	0.677000
0.279251	0.857143	0.677000
0.279240	0.857143	0.677000
0.279229	0.857143	0.677000
0.279219	0.857143	0.677000
0.279208	0.857143	0.677000
0.279198	0.857143	0.677000
0.279187	0.857143	0.677000
0.279177	0.857143	0.677000
0.279167	0.857143	0.677000
0.279157	0.857143	0.676000
0.279148	0.857143	0.676000
0.279139	0.857143	0.676000
0.279134	0.857143	0.676000
0.279122	0.857143	0.676000
0.279113	0.857143	0.676000
0.279104	0.857143	0.676000
0.279096	0.857143	0.676000
0.279089	0.857143	0.676000
0.279079	0.857143	0.676000
0.279071	0.857143	0.676000
0.279067	0.857143	0.676000
0.279056	0.857143	0.675000
