loss	train_acc	test_acc
0.003779	1.000000	0.752000
0.002457	1.000000	0.752000
0.002695	1.000000	0.752000
0.009699	1.000000	0.752000
0.002428	1.000000	0.750000
0.002463	1.000000	0.750000
0.001614	1.000000	0.751000
0.002176	1.000000	0.751000
0.002269	1.000000	0.751000
0.002404	1.000000	0.751000
0.002723	1.000000	0.751000
0.003717	1.000000	0.753000
0.001608	1.000000	0.753000
0.000802	1.000000	0.751000
0.006626	1.000000	0.750000
0.003481	1.000000	0.751000
0.002549	1.000000	0.752000
0.001946	1.000000	0.751000
0.000937	1.000000	0.749000
0.002525	1.000000	0.749000
0.003665	1.000000	0.749000
0.000985	1.000000	0.748000
0.002007	1.000000	0.749000
0.002920	1.000000	0.750000
0.000935	1.000000	0.745000
0.001222	1.000000	0.744000
0.002844	1.000000	0.743000
0.007530	1.000000	0.742000
0.000846	1.000000	0.739000
0.000801	1.000000	0.737000
0.002564	1.000000	0.737000
0.001092	1.000000	0.735000
0.000407	1.000000	0.735000
0.000391	1.000000	0.735000
0.003459	1.000000	0.736000
0.003933	1.000000	0.736000
0.002136	1.000000	0.739000
0.001159	1.000000	0.739000
0.002578	1.000000	0.740000
0.002106	1.000000	0.740000
0.000714	1.000000	0.738000
0.000928	1.000000	0.737000
0.000775	1.000000	0.736000
0.002647	1.000000	0.736000
0.010092	1.000000	0.740000
0.001032	1.000000	0.742000
0.000823	1.000000	0.742000
0.002311	1.000000	0.742000
0.000858	1.000000	0.743000
0.001789	1.000000	0.745000
0.000511	1.000000	0.750000
0.001195	1.000000	0.748000
0.012803	1.000000	0.753000
0.046586	1.000000	0.755000
0.001242	1.000000	0.754000
0.001571	1.000000	0.753000
0.001401	1.000000	0.750000
0.001290	1.000000	0.746000
0.002603	1.000000	0.747000
0.003497	1.000000	0.746000
0.003534	1.000000	0.748000
0.004267	1.000000	0.748000
0.001645	1.000000	0.747000
0.005681	1.000000	0.746000
0.003401	1.000000	0.748000
0.008688	1.000000	0.749000
0.003522	1.000000	0.750000
0.017836	1.000000	0.758000
0.000672	1.000000	0.748000
0.001938	1.000000	0.747000
0.000481	1.000000	0.747000
0.001290	1.000000	0.739000
0.001962	1.000000	0.738000
0.001210	1.000000	0.736000
0.001702	1.000000	0.731000
0.008596	1.000000	0.731000
0.008008	1.000000	0.731000
0.002678	1.000000	0.731000
0.007333	1.000000	0.734000
0.024354	1.000000	0.736000
